id,text
1,취업을 준비하면서 지역 청년 입장에서 AI·데이터 직무 채용정보가 부족하다.
2,개인적으로 내 조건에 맞는 주거지원 정책을 자동으로 추천받고 싶다고 생각합니다.
3,광주·전남에서 지내다 보니 직장인 입장에서 늦은 시간까지 이용할 수 있는 문화공간이 부족하다.
4,취업을 준비하면서 경력 초기 청년 입장에서 지역기업의 연봉이나 복지 정보를 비교하기 어렵다 그리고 청년 할인 혜택을 한눈에 알기 어렵다라고 느낍니다.
5,개인적으로 현직자 멘토링을 통해 지역기업 정보를 얻을 수 있어 유익했다는 점이 가장 불편합니다.
6,개인적으로 내 역량에 맞는 직무를 추천받고 싶다면 좋겠습니다.
7,개인적으로 신혼 청년 입장에서 전세나 월세 시세를 비교하기 어렵다고 생각합니다.
8,실제로 이용해보니 현직자 강의는 직무 이해에 도움이 됐다고 생각합니다.
9,주변에서도 많이 말하는데 사업 단계에 맞는 지원사업을 자동 추천받고 싶다 또 직장 근처에 적당한 주거지가 부족하다.
10,지역에서 생활하면서 최근 일부 노선의 배차가 개선돼 이동이 편해졌다.
11,대중교통 이용자 입장에서 지역 간 환승이 불편하다.
12,주변에서도 많이 말하는데 주말에 여가를 즐기는 사람 입장에서 지역별 행사 정보를 비교하기 어렵다 다만 사업 단계에 맞는 지원을 찾기 어렵다는 의견입니다.
13,개인적으로 직무전환을 준비하는 사람 입장에서 어떤 기술부터 배워야 할지 모르겠다고 생각합니다.
14,주변에서도 많이 말하는데 비슷한 관심사의 사람들과 참여할 프로그램을 찾고 싶다면 좋겠습니다.
15,취업을 준비하면서 신혼 청년 입장에서 보증금 마련이 부담된다는 부분이 개선됐으면 합니다.
16,지역에서 생활하면서 공유오피스 지원이 초기 창업자에게 유용했다는 부분이 개선됐으면 합니다.
17,지역에서 생활하면서 취업준비생 입장에서 필요한 서류를 사전에 확인하기 어렵다라고 느낍니다.
18,실제로 이용해보니 취업준비생 입장에서 청년주택 정보를 찾기 어렵다는 의견입니다.
19,실제로 이용해보니 타지역에서 이주한 청년 입장에서 지원 가능한 주거사업 조건이 복잡하다라고 느낍니다.
20,요즘 느끼는 건 지역대학 학생 입장에서 괜찮은 일자리가 어디에 있는지 모르겠다 특히 사업 단계에 맞는 지원을 찾기 어렵다라고 느낍니다.
21,개인적으로 청년 사업자 입장에서 공간 지원과 자금 지원 정보를 함께 찾기 어렵다는 점이 가장 불편합니다.
22,주변에서도 많이 말하는데 재직 청년 입장에서 어떤 기술부터 배워야 할지 모르겠다.
23,요즘 느끼는 건 대중교통 이용자 입장에서 지역 간 환승이 불편하다고 생각합니다.
24,대학생 입장에서 무료 교육은 신청기간을 놓치기 쉽다는 의견입니다.
25,광주·전남에서 지내다 보니 지역 축제가 생각보다 다양해서 주말에 즐길 거리가 많았다고 생각합니다.
26,실제로 이용해보니 출퇴근하는 청년 입장에서 광주와 전남 시군을 오갈 때 시간이 너무 오래 걸린다라고 느낍니다.
27,광주·전남에서 지내다 보니 내 조건을 입력하면 받을 수 있는 정책을 추천받고 싶다 그리고 초기 고객을 찾기 어렵다라고 느낍니다.
